device_id,identity,bank,device_fingerprint,gpu_renderers,screen,os,browser,ips,ip_country,ip_city,ip_latitude,ip_longitude,ip_timezone,ip_network,ua_os,ua_os_version,ua_browser,ua_browser_version,ua_is_mobile
0e1cf08b-671a-4444-b937-05b673c24b02,a8fbfe59e1e0372c376bd211502d044972749818,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 78.0.3904,109.197.204.190,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,78.0.3904,
0e1cf08b-671a-4444-b937-05b673c24b02,f2c707713676b250c08367156848922c35462d30,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 77.0.3865,109.197.204.228,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,77.0.3865,
0e1cf08b-671a-4444-b937-05b673c24b02,4a50cb80c39f4d74003fe9ec89e9069e85af95fb,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 78.0.3904,109.197.204.214,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,78.0.3904,
0e1cf08b-671a-4444-b937-05b673c24b02,e41d9f1c1b002bcc619f8176a85ee6400434bc12,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 79.0.3945,"213.87.144.3,109.197.204.120",Russia,Moscow,55.7487,37.6187,Europe/Moscow,213.87.144.0/20,Android,8.0.0,Chrome,79.0.3945,
0e1cf08b-671a-4444-b937-05b673c24b02,a0b9131dec126d13d21e526a38eef78dfb3b300b,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 77.0.3865,"213.87.161.181,109.197.204.189",Russia,Moscow,55.7487,37.6187,Europe/Moscow,213.87.161.0/24,Android,8.0.0,Chrome,77.0.3865,
0e1cf08b-671a-4444-b937-05b673c24b02,a678c84106e9d66fbe4f28b82f7ac8cb3c54d6dc,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 79.0.3945,109.197.204.24,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,79.0.3945,
0e1cf08b-671a-4444-b937-05b673c24b02,1e6225588202d73a5751c0a647de607a746bf1c4,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 78.0.3904,109.197.204.3,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,78.0.3904,
0e1cf08b-671a-4444-b937-05b673c24b02,96b4e48573edc11abdb14b93ab00e70c8b5de253,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 78.0.3904,109.197.204.214,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,78.0.3904,
0e1cf08b-671a-4444-b937-05b673c24b02,625675e45556063ac3179f3572d88c77f71f2953,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 79.0.3945,109.197.204.225,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,79.0.3945,
0e1cf08b-671a-4444-b937-05b673c24b02,2e3bcc99cc82d65a857d2e3e12c3efce03551fde,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 78.0.3904,109.197.204.135,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,78.0.3904,
